2024,5,['Toothpaste'],55
2024,4,['Toothpaste'],94
2024,3,['Toothpaste'],105
2024,2,['Toothpaste'],93
2024,1,['Toothpaste'],86
2023,9,['Toothpaste'],107
2023,8,['Toothpaste'],83
2023,7,['Toothpaste'],109
2023,6,['Toothpaste'],88
2023,5,['Toothpaste'],112
2023,4,['Toothpaste'],95
2023,3,['Toothpaste'],105
2023,2,['Toothpaste'],95
2023,12,['Toothpaste'],99
2023,11,['Toothpaste'],92
2023,10,['Toothpaste'],95
2023,1,['Toothpaste'],87
2022,9,['Toothpaste'],87
2022,8,['Toothpaste'],97
2022,7,['Toothpaste'],84
2022,6,['Toothpaste'],89
2022,5,['Toothpaste'],85
2022,4,['Toothpaste'],96
2022,3,['Toothpaste'],101
2022,2,['Toothpaste'],87
2022,12,['Toothpaste'],86
2022,11,['Toothpaste'],88
2022,10,['Toothpaste'],96
2022,1,['Toothpaste'],98
2021,9,['Toothpaste'],99
2021,8,['Toothpaste'],74
2021,7,['Toothpaste'],87
2021,6,['Toothpaste'],98
2021,5,['Toothpaste'],96
2021,4,['Toothpaste'],107
2021,3,['Toothpaste'],90
2021,2,['Toothpaste'],87
2021,12,['Toothpaste'],95
2021,11,['Toothpaste'],82
2021,10,['Toothpaste'],111
2021,1,['Toothpaste'],94
2020,9,['Toothpaste'],86
2020,8,['Toothpaste'],84
2020,7,['Toothpaste'],96
2020,6,['Toothpaste'],94
2020,5,['Toothpaste'],74
2020,4,['Toothpaste'],75
2020,3,['Toothpaste'],93
2020,2,['Toothpaste'],85
2020,12,['Toothpaste'],96
2020,11,['Toothpaste'],94
2020,10,['Toothpaste'],93
2020,1,['Toothpaste'],109
